Rang,Dénomination,SIREN,Ville,CP,Région,Effectif,Stagiaires,Spécialité,Score,Priorité,Production_est,Email,LinkedIn,Statut,Notes
1,SAS D-FORMATIONS PROFESSIONNELLES,538857178,CLERMONT FERRAND,63100,Auvergne-Rhône-Alpes,4,1275,"Ressources humaines, gestion du personnel, gestion de l'emploi",100.0,🔴,13.3,,,,
2,INTERCONSULT,332210392,,,Provence-Alpes-Côte d'Azur,5,1983,"Ressources humaines, gestion du personnel, gestion de l'emploi",95.0,🔴,18.3,,,,
3,ITINERA FORMATION,790238438,,,Auvergne-Rhône-Alpes,5,1160,"Ressources humaines, gestion du personnel, gestion de l'emploi",95.0,🔴,14.8,,,,
4,EMOTIONAL RESCUE,535012314,,,Île-de-France,4,734,Développement des capacités comportementales et relationnelles,95.0,🔴,11.1,,,,
5,ALINATE,812939163,PANTIN,93500,Île-de-France,5,632,"Ressources humaines, gestion du personnel, gestion de l'emploi",95.0,🔴,12.6,,,,
6,ALTEYA CONSULTING,898466206,PARIS 06,75006,Île-de-France,4,621,"Ressources humaines, gestion du personnel, gestion de l'emploi",95.0,🔴,10.6,,,,
7,ELAN INTERCULTUREL,504595248,PARIS 13,75013,Île-de-France,4,556,"Enseignement, formation",95.0,🔴,10.3,,,,
8,FONCTION 2,478971591,PARIS 14,75014,Île-de-France,5,531,Développement des capacités comportementales et relationnelles,95.0,🔴,12.2,,,,
9,CEFERH,383889433,,,Auvergne-Rhône-Alpes,5,240,"Ressources humaines, gestion du personnel, gestion de l'emploi",95.0,🔴,11.0,,,,
10,ESKALIS,752369876,ANNECY LE VIEUX,74940,Auvergne-Rhône-Alpes,4,214,"Ressources humaines, gestion du personnel, gestion de l'emploi",95.0,🔴,8.9,,,,
11,DIGITAL SKILLS FOUNDATION,831353289,,,Auvergne-Rhône-Alpes,5,66855,"Enseignement, formation",90.0,🔴,288.6,,,,
12,SOCIETE FINANCIERE XAVIER HALLIGON - UP'TEAMHOMME,491682134,,,Pays de la Loire,5,3540,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,24.8,,,,
13,CELINE  MATHON  CONSULTING,519317499,,,Île-de-France,5,2699,Développement des capacités comportementales et relationnelles,90.0,🔴,21.2,,,,
14,LION,822531398,,,Île-de-France,6,2516,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,22.5,,,,
15,GALAXIE CONSEIL ET FORMATION,377934229,,,Île-de-France,4,2515,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,18.5,,,,
16,REACTIV',414856682,,,Auvergne-Rhône-Alpes,4,2443,"Agro-alimentaire, alimentation, cuisine",90.0,🔴,18.2,,,,
17,AMAE CONSEIL,483067237,,,Île-de-France,5,2349,Développement des capacités comportementales et relationnelles,90.0,🔴,19.8,,,,
18,ALTIDEM SAS,492299805,,,Île-de-France,5,1905,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,17.9,,,,
19,P.A.R.A.T CONSEILS,503330878,,,Provence-Alpes-Côte d'Azur,4,1725,Développement des capacités comportementales et relationnelles,90.0,🔴,15.2,,,,
20,LAERDAL MEDICAL FRANCE,950394916,LIMONEST,69760,Auvergne-Rhône-Alpes,5,1480,"Enseignement, formation",90.0,🔴,16.2,,,,
21,LMH FORMATION,820631406,HARDRICOURT,78250,Île-de-France,5,1308,"Enseignement, formation",90.0,🔴,15.4,,,,
22,C3,798421798,PARIS 11,75011,Île-de-France,7,1275,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,19.3,,,,
23,COMPTOIR DES RH,534921036,AVIGNON,84000,Provence-Alpes-Côte d'Azur,4,1222,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,13.1,,,,
24,PARO,535109498,RILLIEUX LA PAPE,69140,Auvergne-Rhône-Alpes,5,1198,"Enseignement, formation",90.0,🔴,15.0,,,,
25,NEXTGEN,900319591,PARIS 08,75008,Île-de-France,5,1196,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,15.0,,,,
26,CICERO PARTNERS,811295336,,,Île-de-France,5,1126,Développement des capacités comportementales et relationnelles,90.0,🔴,14.7,,,,
27,C2 DEVELOPPEMENT,428107585,MAUREPAS,78310,Île-de-France,4,1124,"Commerce, vente",90.0,🔴,12.7,,,,
28,MC COACHING,901324988,PARIS 08,75008,Île-de-France,5,1072,"Enseignement, formation",90.0,🔴,14.5,,,,
29,PLACE TO LEARN,495350928,,,Auvergne-Rhône-Alpes,5,1050,"Commerce, vente",90.0,🔴,14.4,,,,
30,CHEVALLIER ET ASSOCIES,347389207,,,Auvergne-Rhône-Alpes,4,1019,Développement des capacités comportementales et relationnelles,90.0,🔴,12.2,,,,
31,HIGHPOT CONSEIL SARL,527750657,,,Provence-Alpes-Côte d'Azur,5,1006,"Commerce, vente",90.0,🔴,14.2,,,,
32,AH MANAGEMENT,518563911,LUSSAS,71700,Auvergne-Rhône-Alpes,6,963,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,16.0,,,,
33,PREAVIES,922242581,BOUVESSE QUIRIEU,38390,Auvergne-Rhône-Alpes,5,946,"Enseignement, formation",90.0,🔴,13.9,,,,
34,IMPRO 2,750062481,PARIS 04,75004,Île-de-France,5,935,Développement des capacités comportementales et relationnelles,90.0,🔴,13.9,,,,
35,CARNETS D'EVEIL,529046864,CHOISY LE ROI,94600,Île-de-France,5,904,Développement des capacités comportementales et relationnelles,90.0,🔴,13.8,,,,
36,C & C AUTO ECOLE,913635942,COUBRON,93470,Île-de-France,4,898,"Enseignement, formation",90.0,🔴,11.7,,,,
37,APPUI.COM CONSEIL,753054022,,,Auvergne-Rhône-Alpes,5,897,"Commerce, vente",90.0,🔴,13.7,,,,
38,COMPANIEROS,343728572,,,Île-de-France,4,889,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,11.7,,,,
39,PAUL PYRONNET INSTITUT,521659425,LYON 06,69006,Auvergne-Rhône-Alpes,5,869,"Enseignement, formation",90.0,🔴,13.6,,,,
40,MDC CONGRUENCE,947695227,,,Île-de-France,4,839,Développement des capacités comportementales et relationnelles,90.0,🔴,11.5,,,,
41,ASSOCIATION  ST JOSEPH,320152457,,,Auvergne-Rhône-Alpes,5,818,"Enseignement, formation",90.0,🔴,13.4,,,,
42,F.P.C.S. PASCAL DOUSSAINT,514199148,ARCAY,86200,Nouvelle-Aquitaine,5,816,"Enseignement, formation",90.0,🔴,13.4,,,,
43,FORMATION SPECIFIQUE,899643415,MARSEILLE 01,13001,Provence-Alpes-Côte d'Azur,4,805,"Enseignement, formation",90.0,🔴,11.4,,,,
44,DIGITAL LEARNING,827702101,MARSEILLE 09,13009,Provence-Alpes-Côte d'Azur,5,791,"Langues vivantes, civilisations étrangères et régionales",90.0,🔴,13.3,,,,
45,CFCT92IDF,845406891,,,Île-de-France,5,783,"Enseignement, formation",90.0,🔴,13.3,,,,
46,PERCEPIED CONSEIL,893189241,,,Provence-Alpes-Côte d'Azur,4,773,"Commerce, vente",90.0,🔴,11.2,,,,
47,Christophe CHABIN - NONAKA CONSEIL,523073989,THONON LES BAINS,74200,Auvergne-Rhône-Alpes,4,760,Développement des capacités comportementales et relationnelles,90.0,🔴,11.2,,,,
48,ALEOX  (MME  MERLAND),527997985,,,Île-de-France,5,753,Développement des capacités comportementales et relationnelles,90.0,🔴,13.1,,,,
49,SB CONSEIL,484004825,,,Pays de la Loire,5,747,Développement des capacités comportementales et relationnelles,90.0,🔴,13.1,,,,
50,SARL XV MANAGEMENT,494551252,,,Auvergne-Rhône-Alpes,4,741,"Commerce, vente",90.0,🔴,11.1,,,,
51,OSE FORMATIONS,822684411,,,Auvergne-Rhône-Alpes,4,740,Linguistique,90.0,🔴,11.1,,,,
52,PAROLES DE SAGESSE,450010277,,,Île-de-France,5,731,"Enseignement, formation",90.0,🔴,13.0,,,,
53,CAMPUS CAREER,528533102,BOULOGNE BILLANCOURT,92100,Île-de-France,4,717,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,11.0,,,,
54,FORMEOSE,751664632,,,Auvergne-Rhône-Alpes,4,665,"Enseignement, formation",90.0,🔴,10.8,,,,
55,RADYA RESEAU DES ACTEURS DE LA DYNAMIQUE  ASL,519668453,PARIS 14,75014,Île-de-France,4,649,"Enseignement, formation",90.0,🔴,10.7,,,,
56,COACHING AND CO,788916104,,,Auvergne-Rhône-Alpes,4,645,"Commerce, vente",90.0,🔴,10.7,,,,
57,QUATRE EPICES,479472565,,,Île-de-France,5,637,Développement des capacités comportementales et relationnelles,90.0,🔴,12.7,,,,
58,VIRTU'OZ SEVEN,500108634,BRON,69500,Auvergne-Rhône-Alpes,5,622,"Commerce, vente",90.0,🔴,12.6,,,,
59,I.H.R.M. Cis-Assistance,434520573,,,Provence-Alpes-Côte d'Azur,4,620,"Enseignement, formation",90.0,🔴,10.6,,,,
60,ELANSITE,534630025,,,Île-de-France,5,614,Développement des capacités comportementales et relationnelles,90.0,🔴,12.6,,,,
61,HCB CONSULTANTS,451335392,PARIS 17,75017,Île-de-France,5,612,Développement des capacités comportementales et relationnelles,90.0,🔴,12.6,,,,
62,LMC Conseil,823419973,,,Auvergne-Rhône-Alpes,4,611,"Enseignement, formation",90.0,🔴,10.5,,,,
63,CENTRAL TEST,441914272,,,Île-de-France,5,607,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,12.5,,,,
64,HONEYWELL RESPIRATORY SAFETY PRODUCTS,552057448,,,Île-de-France,4,602,"Enseignement, formation",90.0,🔴,10.5,,,,
65,TRAITS D UNIONS,430195859,,,Île-de-France,4,599,Développement des capacités mentales et apprentissages de base,90.0,🔴,10.5,,,,
66,PERSPECTIVES ET RESSOURCES,447777194,,,Provence-Alpes-Côte d'Azur,3,592,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,8.5,,,,
67,C-FORCE,898809538,MANDRES LES ROSES,94520,Île-de-France,4,579,Bâtiment: construction et couverture,90.0,🔴,10.4,,,,
68,VECTORIS,951247808,BOURGES,18000,Centre-Val de Loire,4,574,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,10.4,,,,
69,ASSOCIATION    AVD-FORMATION,533755229,PARIS 17,75017,Île-de-France,4,560,"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",90.0,🔴,10.3,,,,
70,DOMINO  S PIZZA  FRANCE,421415803,,,Île-de-France,4,557,"Agro-alimentaire, alimentation, cuisine",90.0,🔴,10.3,,,,
71,VERTICAL RH,444734354,,,Pays de la Loire,4,541,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,10.3,,,,
72,AUTO ECOLE DE LA PLAGE,421227422,CHAMPS SUR MARNE,77420,Île-de-France,5,515,"Enseignement, formation",90.0,🔴,12.1,,,,
73,QUATRENE AUTO MOTO ECOLE,832857403,BONDY,93140,Île-de-France,4,505,"Enseignement, formation",90.0,🔴,10.1,,,,
74,WORK & SMILE CONSULTING,852821758,BRIGNOLES,83170,Provence-Alpes-Côte d'Azur,4,485,Développement des capacités comportementales et relationnelles,90.0,🔴,10.0,,,,
75,ACCŒIL,514425255,VERSAILLES,78000,Île-de-France,4,461,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,9.9,,,,
76,AQUITAINE RECRUTEMENT,332723576,,,Nouvelle-Aquitaine,4,423,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,9.8,,,,
77,MP CONSEIL,848097366,FIRMINY,42700,Auvergne-Rhône-Alpes,4,407,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,9.7,,,,
78,EIPAS,504943705,,,Auvergne-Rhône-Alpes,5,404,"Ressources humaines, gestion du personnel, gestion de l'emploi",90.0,🔴,11.7,,,,
79,PIERRE AUDIFFREN CONSULTANT,438979518,,,Provence-Alpes-Côte d'Azur,4,332,Développement des capacités comportementales et relationnelles,90.0,🔴,9.4,,,,
80,SAS  BESTER CAPITAL HUMAIN,523254639,,,Île-de-France,4,331,Développement des capacités comportementales et relationnelles,90.0,🔴,9.4,,,,
81,ALLIANCE FRANCAISE ANNECY,821642782,ANNECY,74000,Auvergne-Rhône-Alpes,5,321,"Enseignement, formation",90.0,🔴,11.3,,,,
82,LATTITUDE43-3,899884324,MARSEILLE 12,13012,Provence-Alpes-Côte d'Azur,4,303,Développement des capacités comportementales et relationnelles,90.0,🔴,9.3,,,,
83,MALICORNE CONSEIL,437954298,CLICHY,92110,Île-de-France,4,263,Développement des capacités comportementales et relationnelles,90.0,🔴,9.1,,,,
